Day	Weather	Holiday	FoodItem	QuantitySold
Friday	Cloudy	Yes	Mysore Bonda	39
Monday	Sunny	Yes	Dosa	30
Friday	Cloudy	Yes	Pani Puri	123
Sunday	Sunny	No	Idli	185
Monday	Sunny	Yes	Idli	76
Sunday	Rainy	No	Samosa	211
Saturday	Rainy	No	Samosa	192
Wednesday	Cloudy	Yes	Idli	243
Sunday	Rainy	No	Pani Puri	109
Saturday	Rainy	No	Dosa	109
Thursday	Cloudy	No	Idli	110
Saturday	Sunny	No	Biryani	113
Friday	Cloudy	Yes	Samosa	274
Tuesday	Cloudy	Yes	Dosa	197
Wednesday	Sunny	Yes	Pani Puri	248
Monday	Cloudy	Yes	Dosa	54
Wednesday	Cloudy	Yes	Biryani	44
Thursday	Cloudy	No	Idli	231
Thursday	Cloudy	No	Punukulu	212
Monday	Cloudy	Yes	Idli	251
Monday	Sunny	No	Biryani	183
Wednesday	Sunny	Yes	Pani Puri	107
Thursday	Sunny	Yes	Punukulu	67
Wednesday	Rainy	No	Biryani	240
Saturday	Sunny	No	Idli	47
Monday	Cloudy	Yes	Dosa	229
Saturday	Rainy	No	Pesarattu	172
Tuesday	Sunny	Yes	Mirchi Bhajji	271
Tuesday	Sunny	No	Biryani	238
Monday	Cloudy	No	Dosa	69
Monday	Sunny	Yes	Pesarattu	61
Thursday	Sunny	No	Mirchi Bhajji	261
Thursday	Rainy	No	Samosa	298
Thursday	Sunny	No	Mirchi Bhajji	209
Tuesday	Cloudy	Yes	Pesarattu	245
Thursday	Cloudy	Yes	Pesarattu	51
Tuesday	Rainy	Yes	Samosa	196
Sunday	Rainy	No	Dosa	51
Sunday	Cloudy	No	Punukulu	263
Friday	Sunny	No	Pesarattu	60
Thursday	Rainy	Yes	Punukulu	284
Sunday	Rainy	Yes	Samosa	249
Tuesday	Sunny	Yes	Dosa	84
Monday	Cloudy	Yes	Mirchi Bhajji	123
Sunday	Rainy	Yes	Pesarattu	183
Saturday	Sunny	Yes	Mirchi Bhajji	223
Friday	Cloudy	No	Punukulu	254
Sunday	Sunny	No	Samosa	232
Tuesday	Sunny	Yes	Samosa	71
Sunday	Cloudy	No	Mirchi Bhajji	155
Thursday	Rainy	No	Mysore Bonda	39
Tuesday	Cloudy	No	Idli	225
Monday	Cloudy	No	Dosa	45
Saturday	Cloudy	No	Pani Puri	30
Wednesday	Cloudy	No	Pesarattu	271
Sunday	Rainy	Yes	Dosa	88
Wednesday	Rainy	No	Pani Puri	157
Saturday	Cloudy	Yes	Dosa	246
Tuesday	Cloudy	No	Punukulu	211
Sunday	Sunny	Yes	Samosa	179
Saturday	Rainy	No	Idli	288
Friday	Sunny	Yes	Dosa	122
Sunday	Sunny	Yes	Biryani	253
Monday	Cloudy	Yes	Pesarattu	208
Sunday	Cloudy	No	Samosa	35
Tuesday	Cloudy	No	Mysore Bonda	110
Sunday	Cloudy	No	Pani Puri	103
Sunday	Cloudy	Yes	Pesarattu	34
Thursday	Sunny	Yes	Dosa	133
Saturday	Sunny	Yes	Pesarattu	229
Friday	Sunny	Yes	Mysore Bonda	87
Saturday	Sunny	Yes	Dosa	149
Friday	Cloudy	No	Mirchi Bhajji	212
Sunday	Cloudy	No	Pesarattu	131
Thursday	Cloudy	No	Samosa	23
Friday	Rainy	No	Punukulu	164
Wednesday	Rainy	Yes	Mysore Bonda	52
Wednesday	Cloudy	No	Pesarattu	153
Saturday	Rainy	No	Dosa	96
Friday	Sunny	Yes	Mirchi Bhajji	183
Saturday	Sunny	Yes	Mysore Bonda	171
Wednesday	Cloudy	No	Mirchi Bhajji	38
Friday	Rainy	Yes	Pani Puri	133
Saturday	Rainy	No	Pani Puri	279
Wednesday	Sunny	Yes	Pesarattu	69
Thursday	Sunny	No	Punukulu	113
Saturday	Cloudy	Yes	Dosa	201
Tuesday	Rainy	No	Mirchi Bhajji	189
Wednesday	Cloudy	No	Mysore Bonda	80
Thursday	Sunny	Yes	Mysore Bonda	119
Friday	Sunny	No	Punukulu	172
Thursday	Sunny	Yes	Idli	122
Wednesday	Cloudy	No	Idli	181
Sunday	Rainy	Yes	Samosa	269
Wednesday	Rainy	Yes	Pani Puri	49
Monday	Cloudy	No	Dosa	106
Friday	Sunny	No	Samosa	86
Friday	Cloudy	No	Mirchi Bhajji	239
Thursday	Cloudy	Yes	Biryani	293
Tuesday	Rainy	No	Biryani	184
Sunday	Rainy	Yes	Biryani	22
Saturday	Rainy	Yes	Dosa	196
Wednesday	Sunny	Yes	Mirchi Bhajji	277
Friday	Cloudy	Yes	Samosa	43
Wednesday	Cloudy	No	Punukulu	288
Wednesday	Cloudy	Yes	Pani Puri	270
Wednesday	Sunny	Yes	Mirchi Bhajji	29
Tuesday	Sunny	Yes	Dosa	31
Friday	Rainy	Yes	Samosa	207
Saturday	Rainy	Yes	Mirchi Bhajji	150
Sunday	Rainy	Yes	Biryani	75
Saturday	Sunny	Yes	Samosa	233
Thursday	Cloudy	Yes	Punukulu	149
Thursday	Rainy	Yes	Dosa	24
Wednesday	Cloudy	Yes	Punukulu	158
Friday	Rainy	Yes	Mirchi Bhajji	73
Friday	Rainy	Yes	Pesarattu	78
Sunday	Sunny	No	Dosa	122
Sunday	Cloudy	Yes	Pani Puri	229
Wednesday	Sunny	Yes	Punukulu	274
Tuesday	Rainy	No	Pani Puri	140
Monday	Sunny	Yes	Samosa	272
Tuesday	Sunny	Yes	Samosa	151
Saturday	Sunny	No	Pesarattu	155
Thursday	Sunny	Yes	Idli	40
Sunday	Cloudy	No	Pani Puri	238
Saturday	Sunny	Yes	Biryani	24
Sunday	Sunny	Yes	Pani Puri	203
Thursday	Rainy	No	Samosa	210
Sunday	Cloudy	Yes	Samosa	225
Thursday	Cloudy	No	Mirchi Bhajji	264
Sunday	Cloudy	Yes	Samosa	87
Saturday	Rainy	Yes	Idli	73
Thursday	Rainy	No	Mysore Bonda	112
Friday	Cloudy	No	Biryani	86
Thursday	Cloudy	Yes	Mirchi Bhajji	245
Monday	Sunny	No	Pani Puri	26
Saturday	Rainy	Yes	Pani Puri	285
Friday	Rainy	Yes	Mirchi Bhajji	147
Thursday	Cloudy	No	Idli	47
Monday	Rainy	Yes	Punukulu	260
Sunday	Cloudy	Yes	Samosa	271
Wednesday	Sunny	No	Pesarattu	45
Friday	Sunny	No	Mirchi Bhajji	140
Monday	Cloudy	No	Mysore Bonda	65
Sunday	Cloudy	No	Pani Puri	80
Thursday	Rainy	Yes	Samosa	226
Thursday	Sunny	Yes	Samosa	175
Friday	Rainy	Yes	Mysore Bonda	194
Wednesday	Sunny	Yes	Mysore Bonda	189
Friday	Rainy	No	Pani Puri	251
Monday	Sunny	Yes	Biryani	194
Wednesday	Rainy	No	Punukulu	287
Wednesday	Rainy	Yes	Biryani	104
Thursday	Sunny	No	Samosa	150
Friday	Sunny	Yes	Samosa	221
Tuesday	Cloudy	Yes	Pani Puri	75
Sunday	Cloudy	Yes	Samosa	250
Thursday	Rainy	Yes	Mysore Bonda	22
Friday	Rainy	Yes	Punukulu	241
Sunday	Rainy	No	Punukulu	110
Saturday	Rainy	Yes	Idli	73
Thursday	Rainy	No	Punukulu	216
Thursday	Rainy	Yes	Pesarattu	223
Wednesday	Cloudy	No	Idli	90
Thursday	Rainy	No	Punukulu	180
Saturday	Rainy	Yes	Dosa	127
Friday	Rainy	No	Pani Puri	87
Saturday	Rainy	Yes	Punukulu	297
Saturday	Rainy	No	Samosa	200
Friday	Cloudy	No	Punukulu	166
Sunday	Cloudy	Yes	Punukulu	74
Monday	Cloudy	Yes	Biryani	48
Tuesday	Cloudy	Yes	Pesarattu	148
Tuesday	Sunny	No	Dosa	297
Monday	Cloudy	No	Samosa	134
Saturday	Rainy	No	Dosa	281
Sunday	Rainy	No	Biryani	215
Thursday	Cloudy	No	Punukulu	47
Monday	Rainy	No	Dosa	246
Sunday	Sunny	No	Punukulu	120
Sunday	Rainy	Yes	Pesarattu	249
Tuesday	Rainy	Yes	Idli	108
Saturday	Rainy	Yes	Mirchi Bhajji	40
Thursday	Cloudy	No	Idli	102
Friday	Cloudy	Yes	Pani Puri	258
Saturday	Sunny	Yes	Idli	185
Friday	Sunny	No	Mysore Bonda	203
Monday	Rainy	No	Punukulu	132
Tuesday	Rainy	Yes	Punukulu	101
Thursday	Rainy	No	Samosa	198
Tuesday	Sunny	No	Pani Puri	204
Wednesday	Sunny	No	Punukulu	24
Monday	Rainy	No	Mysore Bonda	143
Saturday	Rainy	Yes	Biryani	184
Thursday	Sunny	No	Pesarattu	296
Saturday	Cloudy	Yes	Punukulu	211
Friday	Rainy	No	Mysore Bonda	42
Wednesday	Rainy	Yes	Pani Puri	283
Monday	Sunny	Yes	Punukulu	293
Monday	Rainy	Yes	Dosa	129
Sunday	Rainy	No	Samosa	125
Friday	Rainy	No	Samosa	98
Monday	Cloudy	No	Biryani	64
Monday	Sunny	Yes	Pesarattu	56
Friday	Sunny	No	Mirchi Bhajji	218
Thursday	Rainy	No	Mirchi Bhajji	181
Monday	Cloudy	Yes	Punukulu	23
Saturday	Rainy	Yes	Biryani	57
Wednesday	Rainy	Yes	Pesarattu	174
Friday	Sunny	No	Mysore Bonda	215
Thursday	Rainy	Yes	Mysore Bonda	100
Friday	Sunny	Yes	Mirchi Bhajji	299
Wednesday	Rainy	Yes	Pesarattu	211
Monday	Rainy	Yes	Samosa	41
Monday	Rainy	No	Punukulu	300
Monday	Cloudy	Yes	Pani Puri	128
Thursday	Rainy	Yes	Idli	114
Tuesday	Rainy	No	Dosa	78
Tuesday	Rainy	Yes	Punukulu	256
Saturday	Rainy	Yes	Pesarattu	54
Wednesday	Sunny	Yes	Mysore Bonda	189
Wednesday	Sunny	Yes	Samosa	165
Friday	Sunny	Yes	Pani Puri	268
Thursday	Cloudy	No	Idli	206
Sunday	Cloudy	No	Idli	22
Wednesday	Sunny	Yes	Mirchi Bhajji	161
Sunday	Cloudy	Yes	Pani Puri	265
Thursday	Cloudy	No	Pesarattu	269
Friday	Sunny	Yes	Samosa	163
Sunday	Sunny	Yes	Pesarattu	59
Saturday	Sunny	Yes	Punukulu	35
Sunday	Rainy	No	Dosa	38
Friday	Cloudy	No	Idli	207
Thursday	Sunny	No	Idli	257
Friday	Rainy	Yes	Mirchi Bhajji	206
Friday	Sunny	Yes	Idli	283
Tuesday	Cloudy	Yes	Idli	94
Saturday	Rainy	No	Pani Puri	40
Tuesday	Cloudy	Yes	Samosa	155
Wednesday	Sunny	Yes	Dosa	285
Sunday	Cloudy	No	Mysore Bonda	252
Monday	Sunny	No	Samosa	286
Saturday	Cloudy	No	Punukulu	109
Thursday	Rainy	No	Pani Puri	59
Friday	Cloudy	No	Dosa	284
Thursday	Cloudy	No	Mysore Bonda	266
Friday	Sunny	Yes	Mysore Bonda	104
Tuesday	Sunny	No	Dosa	96
Tuesday	Sunny	No	Samosa	137
Thursday	Cloudy	Yes	Mysore Bonda	265
Thursday	Sunny	Yes	Mirchi Bhajji	31
Tuesday	Sunny	Yes	Idli	88
Saturday	Rainy	Yes	Idli	48
Tuesday	Cloudy	Yes	Punukulu	227
Friday	Rainy	Yes	Pesarattu	63
Tuesday	Cloudy	No	Mysore Bonda	107
Tuesday	Cloudy	Yes	Idli	281
Wednesday	Sunny	No	Mysore Bonda	55
Tuesday	Cloudy	No	Idli	75
Monday	Sunny	No	Idli	69
Tuesday	Cloudy	Yes	Punukulu	277
Sunday	Sunny	Yes	Mysore Bonda	86
Friday	Rainy	Yes	Mirchi Bhajji	287
Thursday	Cloudy	Yes	Punukulu	239
Tuesday	Cloudy	No	Pani Puri	70
Thursday	Sunny	No	Mysore Bonda	139
Sunday	Sunny	No	Punukulu	229
Wednesday	Sunny	Yes	Biryani	287
Monday	Rainy	Yes	Mirchi Bhajji	125
Saturday	Cloudy	No	Pani Puri	74
Tuesday	Cloudy	No	Pesarattu	294
Thursday	Rainy	No	Pesarattu	223
Sunday	Sunny	No	Punukulu	267
Tuesday	Cloudy	No	Pesarattu	177
Friday	Cloudy	No	Idli	80
Saturday	Sunny	No	Idli	71
Tuesday	Rainy	No	Pani Puri	46
Tuesday	Cloudy	Yes	Samosa	94
Thursday	Rainy	No	Samosa	52
Wednesday	Sunny	No	Samosa	39
Saturday	Cloudy	No	Punukulu	166
Saturday	Rainy	Yes	Idli	273
Thursday	Sunny	Yes	Punukulu	166
Tuesday	Sunny	Yes	Idli	38
Wednesday	Sunny	Yes	Idli	64
Wednesday	Cloudy	No	Mirchi Bhajji	227
Friday	Sunny	Yes	Samosa	66
Friday	Cloudy	No	Pani Puri	161
Tuesday	Rainy	Yes	Mysore Bonda	226
Friday	Sunny	No	Idli	228
Friday	Sunny	Yes	Punukulu	170
Wednesday	Sunny	No	Punukulu	148
Saturday	Cloudy	No	Mysore Bonda	144
Sunday	Cloudy	No	Mysore Bonda	34
Thursday	Sunny	No	Samosa	215
Saturday	Sunny	Yes	Pani Puri	231
Wednesday	Rainy	Yes	Pesarattu	147
Wednesday	Sunny	No	Pani Puri	58
Friday	Sunny	No	Pani Puri	201
Tuesday	Rainy	No	Idli	117
Thursday	Rainy	Yes	Dosa	143
Sunday	Cloudy	Yes	Dosa	123
Sunday	Sunny	No	Idli	74
Monday	Sunny	No	Biryani	297
Monday	Cloudy	No	Pani Puri	272
Friday	Cloudy	No	Idli	281
Wednesday	Cloudy	Yes	Idli	47
Friday	Cloudy	No	Punukulu	36
Friday	Cloudy	No	Idli	254
Monday	Rainy	No	Pani Puri	24
Monday	Rainy	Yes	Mirchi Bhajji	71
Wednesday	Cloudy	No	Idli	300
Wednesday	Sunny	No	Mysore Bonda	195
Wednesday	Sunny	No	Mirchi Bhajji	127
Thursday	Rainy	No	Pani Puri	225
Wednesday	Cloudy	Yes	Idli	137
Sunday	Sunny	No	Dosa	241
Sunday	Cloudy	Yes	Idli	96
Thursday	Sunny	Yes	Mirchi Bhajji	275
Tuesday	Rainy	No	Mysore Bonda	173
Wednesday	Rainy	Yes	Mirchi Bhajji	70
Saturday	Sunny	Yes	Dosa	150
Thursday	Rainy	Yes	Mysore Bonda	191
Wednesday	Cloudy	No	Punukulu	151
Wednesday	Sunny	No	Samosa	199
Sunday	Rainy	Yes	Punukulu	109
Sunday	Cloudy	No	Pani Puri	281
Thursday	Rainy	No	Samosa	215
Friday	Cloudy	No	Idli	105
Saturday	Cloudy	No	Mirchi Bhajji	56
Monday	Sunny	No	Dosa	180
Wednesday	Rainy	No	Pesarattu	222
Wednesday	Cloudy	No	Punukulu	250
Thursday	Sunny	Yes	Biryani	84
Saturday	Sunny	No	Samosa	127
Tuesday	Cloudy	Yes	Samosa	52
Thursday	Rainy	Yes	Biryani	223
Friday	Sunny	Yes	Pesarattu	99
Monday	Rainy	No	Pesarattu	137
Tuesday	Rainy	No	Mysore Bonda	84
Tuesday	Rainy	Yes	Biryani	37
Saturday	Cloudy	No	Mysore Bonda	259
Sunday	Rainy	No	Punukulu	247
Tuesday	Rainy	Yes	Mysore Bonda	242
Friday	Rainy	No	Pani Puri	266
Friday	Sunny	Yes	Mysore Bonda	177
Wednesday	Cloudy	No	Idli	175
Monday	Sunny	Yes	Pani Puri	166
Thursday	Rainy	Yes	Mysore Bonda	264
Wednesday	Sunny	No	Pesarattu	138
Sunday	Sunny	No	Dosa	230
Friday	Cloudy	No	Dosa	103
Saturday	Rainy	No	Mirchi Bhajji	132
Wednesday	Sunny	No	Dosa	284
Sunday	Rainy	No	Pesarattu	292
Sunday	Cloudy	No	Dosa	55
Tuesday	Sunny	No	Samosa	253
Friday	Cloudy	No	Mysore Bonda	116
Wednesday	Sunny	Yes	Biryani	293
Monday	Sunny	Yes	Pesarattu	157
Tuesday	Rainy	No	Biryani	139
Monday	Sunny	Yes	Mysore Bonda	131
Wednesday	Cloudy	No	Mysore Bonda	210
Thursday	Rainy	Yes	Pani Puri	61
Sunday	Sunny	Yes	Pesarattu	220
Monday	Rainy	No	Idli	118
Sunday	Cloudy	No	Biryani	82
Sunday	Rainy	Yes	Mirchi Bhajji	246
Tuesday	Rainy	Yes	Dosa	255
Saturday	Sunny	Yes	Mysore Bonda	219
Saturday	Cloudy	No	Idli	41
Saturday	Rainy	Yes	Pesarattu	266
Saturday	Cloudy	Yes	Pani Puri	46
Sunday	Rainy	Yes	Samosa	140
Saturday	Cloudy	No	Biryani	105
Sunday	Cloudy	Yes	Mirchi Bhajji	144
Monday	Sunny	No	Idli	210
Sunday	Sunny	Yes	Idli	275
Monday	Rainy	No	Biryani	50
Wednesday	Rainy	Yes	Punukulu	74
Tuesday	Cloudy	Yes	Pani Puri	197
Sunday	Cloudy	Yes	Biryani	213
Wednesday	Rainy	Yes	Pesarattu	40
Thursday	Rainy	No	Punukulu	170
Friday	Rainy	No	Dosa	115
Friday	Cloudy	No	Mysore Bonda	160
Sunday	Rainy	Yes	Samosa	291
Tuesday	Cloudy	No	Pesarattu	297
Wednesday	Cloudy	Yes	Punukulu	214
Saturday	Sunny	Yes	Pani Puri	142
Wednesday	Rainy	Yes	Punukulu	218
Tuesday	Rainy	No	Punukulu	98
Friday	Cloudy	No	Mirchi Bhajji	184
Monday	Sunny	Yes	Biryani	86
Tuesday	Sunny	Yes	Samosa	268
Tuesday	Sunny	Yes	Mirchi Bhajji	270
Friday	Rainy	No	Biryani	207
Tuesday	Rainy	Yes	Biryani	126
Saturday	Cloudy	Yes	Mysore Bonda	51
Wednesday	Rainy	No	Pani Puri	49
Sunday	Rainy	No	Punukulu	40
Saturday	Sunny	No	Samosa	130
Friday	Sunny	Yes	Dosa	292
Thursday	Sunny	Yes	Punukulu	147
Friday	Rainy	Yes	Punukulu	232
Saturday	Sunny	No	Mysore Bonda	238
Monday	Sunny	Yes	Punukulu	225
Friday	Cloudy	Yes	Punukulu	246
Wednesday	Cloudy	No	Pani Puri	231
Sunday	Rainy	No	Pani Puri	143
Friday	Rainy	Yes	Mirchi Bhajji	150
Wednesday	Cloudy	No	Mirchi Bhajji	20
Saturday	Sunny	No	Biryani	285
Tuesday	Cloudy	Yes	Pesarattu	133
Tuesday	Cloudy	Yes	Pesarattu	281
